--------------------epoch: 0--------------------
Training start ...
*[Iter]: 134 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 3.89438.
*[Iter]: 135 [Acc@1]: 6.250%  [Acc@5]: 27.344%  [Loss]: 3.99575.
*[Iter]: 136 [Acc@1]: 5.469%  [Acc@5]: 30.469%  [Loss]: 3.88383.
*[Iter]: 137 [Acc@1]: 15.789%  [Acc@5]: 26.316%  [Loss]: 3.65733.
Wait for validation ...
* Acc@1 2.640% Acc@5 10.594%.
* Best Prec@1: 2.640%
--------------------epoch: 1--------------------
Training start ...
*[Iter]: 000 [Acc@1]: 7.031%  [Acc@5]: 27.344%  [Loss]: 3.92431.
*[Iter]: 001 [Acc@1]: 5.469%  [Acc@5]: 29.688%  [Loss]: 3.90963.
*[Iter]: 002 [Acc@1]: 3.125%  [Acc@5]: 19.531%  [Loss]: 4.15523.
*[Iter]: 003 [Acc@1]: 6.250%  [Acc@5]: 23.438%  [Loss]: 3.99175.
*[Iter]: 004 [Acc@1]: 3.906%  [Acc@5]: 25.781%  [Loss]: 3.87041.
*[Iter]: 005 [Acc@1]: 7.031%  [Acc@5]: 28.125%  [Loss]: 3.97000.
*[Iter]: 006 [Acc@1]: 6.250%  [Acc@5]: 26.562%  [Loss]: 3.91110.
*[Iter]: 007 [Acc@1]: 7.812%  [Acc@5]: 21.875%  [Loss]: 3.94856.
*[Iter]: 008 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 3.94467.
*[Iter]: 009 [Acc@1]: 5.469%  [Acc@5]: 21.875%  [Loss]: 3.95459.
*[Iter]: 010 [Acc@1]: 10.156%  [Acc@5]: 28.125%  [Loss]: 3.95206.
*[Iter]: 011 [Acc@1]: 10.938%  [Acc@5]: 22.656%  [Loss]: 3.79786.
*[Iter]: 012 [Acc@1]: 5.469%  [Acc@5]: 20.312%  [Loss]: 3.88505.
*[Iter]: 013 [Acc@1]: 7.812%  [Acc@5]: 22.656%  [Loss]: 4.06673.
*[Iter]: 014 [Acc@1]: 5.469%  [Acc@5]: 24.219%  [Loss]: 3.96877.
*[Iter]: 015 [Acc@1]: 4.688%  [Acc@5]: 25.000%  [Loss]: 3.92332.
*[Iter]: 016 [Acc@1]: 10.938%  [Acc@5]: 27.344%  [Loss]: 3.91789.
*[Iter]: 017 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 3.90493.
*[Iter]: 018 [Acc@1]: 10.156%  [Acc@5]: 28.125%  [Loss]: 3.93335.
*[Iter]: 019 [Acc@1]: 9.375%  [Acc@5]: 25.000%  [Loss]: 3.87363.
*[Iter]: 020 [Acc@1]: 8.594%  [Acc@5]: 28.906%  [Loss]: 3.99372.
*[Iter]: 021 [Acc@1]: 5.469%  [Acc@5]: 27.344%  [Loss]: 4.06823.
*[Iter]: 022 [Acc@1]: 5.469%  [Acc@5]: 27.344%  [Loss]: 3.96453.
*[Iter]: 023 [Acc@1]: 5.469%  [Acc@5]: 17.969%  [Loss]: 4.10013.
*[Iter]: 024 [Acc@1]: 6.250%  [Acc@5]: 24.219%  [Loss]: 3.90945.
*[Iter]: 025 [Acc@1]: 5.469%  [Acc@5]: 24.219%  [Loss]: 4.06593.
*[Iter]: 026 [Acc@1]: 11.719%  [Acc@5]: 28.125%  [Loss]: 3.83467.
*[Iter]: 027 [Acc@1]: 7.031%  [Acc@5]: 32.031%  [Loss]: 3.81993.
*[Iter]: 028 [Acc@1]: 4.688%  [Acc@5]: 20.312%  [Loss]: 4.02415.
*[Iter]: 029 [Acc@1]: 7.031%  [Acc@5]: 31.250%  [Loss]: 3.92860.
*[Iter]: 030 [Acc@1]: 2.344%  [Acc@5]: 32.031%  [Loss]: 4.08612.
*[Iter]: 031 [Acc@1]: 7.812%  [Acc@5]: 31.250%  [Loss]: 3.75166.
*[Iter]: 032 [Acc@1]: 9.375%  [Acc@5]: 23.438%  [Loss]: 3.78180.
*[Iter]: 033 [Acc@1]: 12.500%  [Acc@5]: 32.031%  [Loss]: 3.94078.
*[Iter]: 034 [Acc@1]: 6.250%  [Acc@5]: 28.125%  [Loss]: 3.71269.
*[Iter]: 035 [Acc@1]: 6.250%  [Acc@5]: 29.688%  [Loss]: 4.04610.
*[Iter]: 036 [Acc@1]: 7.031%  [Acc@5]: 29.688%  [Loss]: 3.78089.
*[Iter]: 037 [Acc@1]: 6.250%  [Acc@5]: 28.125%  [Loss]: 3.89913.
*[Iter]: 038 [Acc@1]: 7.031%  [Acc@5]: 28.125%  [Loss]: 4.00511.
*[Iter]: 039 [Acc@1]: 4.688%  [Acc@5]: 22.656%  [Loss]: 4.10874.
*[Iter]: 040 [Acc@1]: 11.719%  [Acc@5]: 29.688%  [Loss]: 3.94247.
*[Iter]: 041 [Acc@1]: 7.031%  [Acc@5]: 26.562%  [Loss]: 3.90832.
*[Iter]: 042 [Acc@1]: 4.688%  [Acc@5]: 22.656%  [Loss]: 4.00124.
*[Iter]: 043 [Acc@1]: 9.375%  [Acc@5]: 30.469%  [Loss]: 3.89576.
*[Iter]: 044 [Acc@1]: 11.719%  [Acc@5]: 30.469%  [Loss]: 3.82503.
*[Iter]: 045 [Acc@1]: 7.812%  [Acc@5]: 25.781%  [Loss]: 3.89328.
*[Iter]: 046 [Acc@1]: 5.469%  [Acc@5]: 27.344%  [Loss]: 3.93472.
*[Iter]: 047 [Acc@1]: 16.406%  [Acc@5]: 39.062%  [Loss]: 3.69431.
*[Iter]: 048 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.82170.
